"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Theophylline|Fraction excreted to urine"
3,3780,0.161489,0.1069852
3,3840,0.1482953,0.107027
3,3900,0.1361795,0.1070654
3,3960,0.1250536,0.1071006
3,4020,0.1148367,0.1071329
3,4080,0.1054545,0.1071627
3,4140,0.09683885,0.1071899
3,4200,0.08892709,0.107215
3,4260,0.08166172,0.107238
3,4320,0.07498994,0.1072591
4,0,0,0
4,60,28.90311,0.01247002
4,120,26.83724,0.02400212
4,180,24.77091,0.034624
4,240,22.85944,0.04442357
4,300,21.10312,0.0534691
4,360,19.48834,0.06182171
4,420,18.00206,0.06953675
4,480,16.63278,0.07666455
4,540,15.37035,0.08325105
4,600,14.20572,0.08933826
4,660,13.1308,0.09496469
4,720,12.13829,0.1001657
4,780,11.22159,0.1049739
4,840,10.37471,0.1094191
4,900,9.592169,0.113529
4,960,8.868971,0.117329
4,1020,8.200531,0.1208425
4,1080,7.582642,0.1240913
4,1140,7.011435,0.1270954
4,1200,6.483351,0.1298732
4,1260,5.99511,0.1324417
4,1320,5.543686,0.1348169
4,1380,5.126291,0.1370132
4,1440,4.74035,0.1390442
4,1500,4.383486,0.1409223
4,1560,4.053501,0.142659
4,1620,3.748369,0.144265
4,1680,3.466213,0.14575
4,1740,3.205303,0.1471233
4,1800,2.964037,0.1483933
4,1860,2.740934,0.1495676
4,1920,2.534626,0.1506535
4,1980,2.343848,0.1516577
4,2040,2.167432,0.1525864
4,2100,2.004295,0.1534451
4,2160,1.853437,0.1542392
4,2220,1.713935,0.1549735
4,2280,1.584933,0.1556525
4,2340,1.46564,0.1562805
4,2400,1.355327,0.1568612
4,2460,1.253317,0.1573981
4,2520,1.158984,0.1578947
4,2580,1.071752,0.1583539
4,2640,0.9910856,0.1587785
4,2700,0.9164906,0.1591712
4,2760,0.8475101,0.1595343
4,2820,0.7837215,0.1598701
4,2880,0.724734,0.1601806
4,2940,0.6701863,0.1604677
4,3000,0.6197441,0.1607332
4,3060,0.5730985,0.1609788
4,3120,0.5299638,0.1612058
4,3180,0.4900756,0.1614158
4,3240,0.4531897,0.1616099
4,3300,0.41908,0.1617895
4,3360,0.3875376,0.1619555
4,3420,0.3583693,0.1621091
4,3480,0.3313963,0.1622511
4,3540,0.3064535,0.1623824
4,3600,0.283388,0.1625038
4,3660,0.2620586,0.1626161
4,3720,0.2423346,0.1627199
4,3780,0.2240951,0.1628159
4,3840,0.2072284,0.1629047
4,3900,0.1916312,0.1629868
4,3960,0.1772079,0.1630627
4,4020,0.1638702,0.1631329
4,4080,0.1515364,0.1631978
4,4140,0.1401309,0.1632579
4,4200,0.1295838,0.1633134
4,4260,0.1198306,0.1633647
4,4320,0.1108114,0.1634122
5,0,0,0
5,60,27.05915,0.01220247
5,120,25.93438,0.02864204
5,180,22.76263,0.04289149
5,240,19.94466,0.05536046
5,300,17.50556,0.0662984
5,360,15.39029,0.07591024
5,420,13.55018,0.08436954
5,480,11.94482,0.09182412
5,540,10.54062,0.09840053
5,600,9.309501,0.1042075
5,660,8.227871,0.1093388
5,720,7.275827,0.1138758
5,780,6.436494,0.117889
5,840,5.695502,0.12144
5,900,5.040565,0.1245825
5,960,4.46113,0.1273638
5,1020,3.9481,0.1298253
5,1080,3.493597,0.1320035
5,1140,3.090775,0.1339307
5,1200,2.73366,0.1356354
5,1260,2.417024,0.1371428
5,1320,2.136275,0.1384752
5,1380,1.88737,0.1396526
5,1440,1.666739,0.1406924
5,1500,1.471222,0.1416104
5,1560,1.29802,0.1424204
5,1620,1.144645,0.1431348
5,1680,1.008889,0.1437646
5,1740,0.8887845,0.1443195
5,1800,0.7825819,0.1448081
5,1860,0.6887218,0.1452383
5,1920,0.6058154,0.1456167
5,1980,0.5326252,0.1459494
5,2040,0.4680492,0.1462418
5,2100,0.4111058,0.1464987
5,2160,0.3609214,0.1467242
5,2220,0.3167185,0.1469222
5,2280,0.2778058,0.1470958
5,2340,0.2435689,0.1472481
5,2400,0.2134619,0.1473816
5,2460,0.1870005,0.1474985
5,2520,0.1637552,0.1476009
5,2580,0.1433452,0.1476906
5,2640,0.1254333,0.1477691
5,2700,0.109721,0.1478377
5,2760,0.09594453,0.1478977
5,2820,0.08387053,0.1479502
5,2880,0.07329309,0.1479961
5,2940,0.06403046,0.1480361
5,3000,0.05592236,0.1480711
5,3060,0.04882754,0.1481017
5,3120,0.0426216,0.1481284
5,3180,0.03719504,0.1481517
5,3240,0.03245155,0.148172
5,3300,0.02830646,0.1481897
5,3360,0.02468538,0.1482052
5,3420,0.02152298,0.1482186
5,3480,0.01876194,0.1482304
5,3540,0.01635194,0.1482406
5,3600,0.0142489,0.1482496
5,3660,0.01241416,0.1482573
5,3720,0.01081387,0.1482641
5,3780,0.009418372,0.14827
5,3840,0.008201714,0.1482751
5,3900,0.007141185,0.1482796
5,3960,0.006216928,0.1482835
5,4020,0.005411583,0.1482869
5,4080,0.004709974,0.1482898
5,4140,0.004098839,0.1482924
5,4200,0.003566595,0.1482946
5,4260,0.003103127,0.1482966
5,4320,0.002699607,0.1482983
6,0,0,0
6,60,18.83511,0.008322262
6,120,19.47905,0.02152847
6,180,16.44045,0.03274638
6,240,13.70813,0.042083
6,300,11.47471,0.04988509
6,360,9.654454,0.05643914
6,420,8.162814,0.06197246
6,480,6.932788,0.06666571
6,540,5.912096,0.07066319
6,600,5.059862,0.07408083
6,660,4.344023,0.07701232
6,720,3.73933,0.07953382
6,780,3.225822,0.0817077
6,840,2.787644,0.0835854
6,900,2.41214,0.08520958
6,960,2.089145,0.08661593
6,1020,1.810441,0.08783451
6,1080,1.569335,0.08889075
6,1140,1.36033,0.08980633
6,1200,1.178877,0.09059987
6,1260,1.021178,0.09128737
6,1320,0.8840357,0.09188266
6,1380,0.7647393,0.09239774
6,1440,0.6609717,0.09284306
6,1500,0.5707405,0.0932277
6,1560,0.4923228,0.09355959
6,1620,0.4242221,0.09384568
6,1680,0.3651333,0.094092
6,1740,0.3139157,0.09430385
6,1800,0.2695695,0.09448583
6,1860,0.2312179,0.09464198
6,1920,0.1980911,0.0947758
6,1980,0.1695135,0.09489036
6,2040,0.1448918,0.09498832
6,2100,0.1237059,0.09507198
6,2160,0.1054998,0.09514336
6,2220,0.08987465,0.09520417
6,2280,0.07648151,0.09525595
6,2340,0.06501599,0.09529997
6,2400,0.05521275,0.09533738
6,2460,0.04684092,0.09536912
6,2520,0.03969995,0.09539603
6,2580,0.03361588,0.09541882
6,2640,0.02843812,0.0954381
6,2700,0.02403646,0.09545441
6,2760,0.02029856,0.09546819
6,2820,0.01712758,0.09547981
6,2880,0.01444023,0.09548961
6,2940,0.01216496,0.09549787
6,3000,0.01024038,0.09550483
6,3060,0.008613918,0.09551068
6,3120,0.007240608,0.0955156
6,3180,0.006082033,0.09551973
6,3240,0.00510542,0.0955232
6,3300,0.004282845,0.09552611
6,3360,0.003590548,0.09552856
6,3420,0.00300833,0.0955306
6,3480,0.002519041,0.09553231
6,3540,0.00210813,0.09553375
6,3600,0.001763274,0.09553495
6,3660,0.001474044,0.09553596
6,3720,0.001231619,0.09553679
6,3780,0.001028549,0.09553749
6,3840,0.0008585448,0.09553808
6,3900,0.0007163032,0.09553856
6,3960,0.0005973562,0.09553897
6,4020,0.0004979414,0.09553931
6,4080,0.0004148942,0.09553959
6,4140,0.0003455547,0.09553983
6,4200,0.0002876881,0.09554002
6,4260,0.0002394187,0.09554019
6,4320,0.0001991728,0.09554032
7,0,0,0
7,60,29.03077,0.01903242
7,120,27.53985,0.03906175
7,180,25.99317,0.05785275
7,240,24.5135,0.07557412
7,300,23.10382,0.09227946
7,360,21.75642,0.1080145
7,420,20.46641,0.1228207
7,480,19.23131,0.1367376
7,540,18.05013,0.1498036
7,600,16.92257,0.1620568
7,660,15.84862,0.1735355
7,720,14.82819,0.1842778
7,780,13.86094,0.1943216
7,840,12.94625,0.2037045
7,900,12.08318,0.2124634
7,960,11.27045,0.2206345
7,1020,10.50652,0.2282527
7,1080,9.789632,0.235352
7,1140,9.11786,0.2419647
7,1200,8.489157,0.2481221
7,1260,7.901404,0.2538535
7,1320,7.352452,0.2591871
7,1380,6.840156,0.2641493
7,1440,6.362395,0.2687651
7,1500,5.917102,0.273058
7,1560,5.502276,0.2770501
7,1620,5.115993,0.280762
7,1680,4.756413,0.2842131
7,1740,4.421788,0.2874214
7,1800,4.11046,0.2904039
7,1860,3.820866,0.2931764
7,1920,3.551533,0.2957534
7,1980,3.301078,0.2981486
7,2040,3.068202,0.300375
7,2100,2.851694,0.3024442
7,2160,2.650416,0.3043674
7,2220,2.46331,0.3061548
7,2280,2.289386,0.3078161
7,2340,2.127723,0.30936
7,2400,1.977459,0.3107949
7,2460,1.837797,0.3121285
7,2520,1.70799,0.3133678
7,2580,1.587345,0.3145196
7,2640,1.475218,0.3155901
7,2700,1.371007,0.3165849
7,2760,1.274156,0.3175095
7,2820,1.184144,0.3183688
7,2880,1.10049,0.3191673
7,2940,1.022744,0.3199095
7,3000,0.9504901,0.3205991
7,3060,0.88334,0.3212401
7,3120,0.8209336,0.3218358
7,3180,0.7629357,0.3223894
7,3240,0.709035,0.3229039
7,3300,0.6589422,0.3233821
7,3360,0.6123883,0.3238265
7,3420,0.5691233,0.3242394
7,3480,0.5289149,0.3246232
7,3540,0.4915472,0.3249799
7,3600,0.4568194,0.3253114
7,3660,0.4245451,0.3256195
